rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
184,1,3,박치과의원,153,79,0.393376,0.173016,0.276554,0.842946,1,-,0.078477,0.002021,0.053917
185,1,3,교대사랑이치과의원,130,2,0.393421,0.165526,0.27606,0.835007,7,1,0.078477,0.005305,0.054166
186,1,3,박재하 치과의원,15,0,0.393421,0.082698,0.275475,0.751594,-,-,0.078477,0.006401,0.054248
187,1,3,뉴욕치과의원,33,3,0.393421,0.160086,0.275456,0.828963,-,-,0.078477,0.00616,0.05423
188,1,1,고운미소치과의원,40,0,0.393376,0.170297,0.272816,0.836489,2,-1,0.078477,0.014306,0.054885
189,2,1,서초부부치과의원,44,1,0.393376,0.165832,0.271599,0.830807,-,-,0.078477,0.007157,0.054305
190,3,3,플러스치과의원,16,0,0.393376,0.07241,0.271408,0.737194,1,-,0.078477,-0.010513,0.052971
191,1,1,장순희치과의원,15,1,0.393376,0.093309,0.271377,0.758062,-,-,0.078477,0.012012,0.054671
192,2,3,문항진치과의원,25,5,0.393376,0.113127,0.271152,0.777655,-,-,0.078477,-0.005892,0.05332
193,5,3,미화이트치과의원,41,7,0.393421,0.151904,0.269563,0.814888,-,-,0.078477,-0.030864,0.051436
194,1,3,허정민치과교정과치과의원,73,11,0.393421,0.215432,0.267598,0.876451,-,1,0.078477,-0.010145,0.052999
195,0,2,서울이좋은치과의원,104,786,0.393421,0.211075,0.266562,0.871058,2,17,0.078477,0.001507,0.053879
196,0,2,파크에비뉴치과의원,654,177,0.393376,0.199683,0.266334,0.859393,57,21,0.078477,0.006906,0.054287
197,3,3,미소랑치과의원,124,4171,0.393421,0.282751,0.265206,0.941378,-,-11,0.078477,-0.018794,0.052347
198,1,3,이믿음치과의원,256,1699,0.393421,0.373566,0.265055,1.032042,14,362,0.078477,-0.009345,0.053059
199,10,1,홈플란트치과의원,441,1980,0.393421,0.401038,0.26367,1.058129,13,632,0.078477,0.14058,0.064375
200,2,3,유디학동치과의원,250,3,0.393421,0.187597,0.260764,0.841782,1,-,0.078477,-0.003861,0.053474
201,3,1,강남샘치과의원,337,1533,0.393421,0.341733,0.259507,0.994661,1,236,0.078477,0.022997,0.055501
202,1,1,위즈치과의원,67,10,0.393376,0.25551,0.259275,0.908161,-,-,0.078477,0.009589,0.054489
203,2,3,하임치과의원,109,29,0.393376,0.217454,0.259116,0.869946,-3,-,0.078477,0.003302,0.054014
204,5,3,강남모아치과의원,259,14,0.393421,0.197016,0.258904,0.849341,-,-,0.078477,-0.012673,0.052809
205,5,3,정으로가는치과의원,201,877,0.393421,0.183467,0.258735,0.835623,-,13,0.078477,-0.008292,0.053139
206,4,3,석엠에스오,3,0,0.393376,0.025014,0.258218,0.676608,-,-,0.078477,-0.008375,0.053133
207,1,3,임성균치과의원,3,1,0.393376,0.031505,0.257506,0.682387,-,1,0.078477,0.013153,0.054758
208,3,3,로하스치과,3,4,0.393376,0.029003,0.256787,0.679166,-,-,0.078477,-0.002414,0.053583
209,82,1,CHA의과학대학교 강남차병원,445,778,0.367674,0.414022,0.255738,1.037434,6,14,0.078477,-0.002414,0.053583
210,3,3,공치과의원,200,29,0.393421,0.209869,0.254522,0.857812,-,2,0.078477,-0.002104,0.053606
211,1,1,서울호호치과의원,96,1,0.393376,0.170276,0.253419,0.817071,-,-,0.078477,0.01492,0.054891
212,2,3,가나가와치과의원,142,32,0.393376,0.222959,0.253396,0.869731,1,-1,0.078477,0.008942,0.05444
213,5,3,뿌리와새싹치과의원,110,6,0.393421,0.148044,0.253052,0.794517,3,-,0.078477,-0.006928,0.053242
214,3,3,논현수치과의원,28,154,0.393376,0.162965,0.252799,0.80914,-,4,0.078477,0.005714,0.054196
215,0,2,덴토피아치과의원,17,5,0.393421,0.182938,0.251837,0.828196,-,-,0.078477,0.011793,0.054655
216,3,3,덴타피아치과의원 강남점,71,191,0.393421,0.140775,0.251744,0.78594,-,-,0.078477,0.004576,0.054111
217,3,3,4월31일치과의원,45,9,0.393376,0.192522,0.251501,0.837399,-,1,0.078477,0.001939,0.053911
218,2,3,김훈바른이치과교정과치과의원,117,65,0.393421,0.218221,0.249031,0.860673,1,-,0.078477,0.008029,0.054371
219,2,3,케이에스치과의원,48,2,0.393376,0.198633,0.24887,0.840879,-,-,0.078477,0.006187,0.054232
220,2,3,서울미래치과의원,192,316,0.393421,0.224453,0.247321,0.865195,-,2,0.078477,-0.000975,0.053691
221,1,3,박건배치과의원,16,4,0.393376,0.113315,0.245541,0.752232,1,-,0.078477,-0.011577,0.052892
222,0,2,더밝은치과의원,17,1,0.393376,0.140749,0.24447,0.778595,1,-,0.078477,0.009571,0.054487
223,0,2,엘치과의원,12,4,0.393376,0.175875,0.244163,0.813414,-,-,0.078477,0.017319,0.055072
224,5,3,컴플란트치과의원,235,359,0.393421,0.277604,0.243921,0.914946,7,32,0.078477,-0.044823,0.050382
225,4,3,스마일스튜디오치과의원,335,31,0.393421,0.199365,0.243475,0.836261,33,30,0.078477,-0.008067,0.053156
226,2,3,스노우치과의원,912,1654,0.393421,0.265618,0.242874,0.901913,36,28,0.078477,0.003523,0.054031
227,1,1,올소치과의원,801,760,0.393376,0.300615,0.242415,0.936406,25,4,0.078477,0.017773,0.055106
228,2,1,온마음치과의원,162,1,0.393421,0.176143,0.242251,0.811815,15,-,0.078477,0.019208,0.055215
229,4,3,에버엠치과의원,138,79,0.393376,0.176631,0.24168,0.811687,8,9,0.078477,-0.006098,0.052993
230,4,3,연세고운미소치과의원 양재점,239,675,0.393376,0.22163,0.241381,0.856387,3,15,0.078477,-0.010133,0.053
231,2,3,서울양치과의원 양재,318,1357,0.393421,0.391996,0.240926,1.026343,18,289,0.078477,0.000471,0.0538
232,1,3,동민허브치과의원,24,0,0.393376,0.1529,0.240418,0.786694,1,-,0.078477,-0.000933,0.053694
233,1,3,문제원치과의원,68,5,0.393376,0.15445,0.239839,0.787665,-,-,0.078477,-0.003328,0.053514
234,7,3,서울이엔이치과의원,313,424,0.393421,0.256167,0.238524,0.888112,20,2,0.078477,-0.040508,0.050708
235,1,1,민치과의원,39,2,0.393376,0.128987,0.238248,0.760611,-,-,0.078477,0.008578,0.054413
236,1,3,서울티에스치과의원,287,21,0.393421,0.226275,0.238187,0.857883,2,-,0.078477,-0.000276,0.053744
237,4,3,서울순치과의원,109,3,0.393376,0.175865,0.238152,0.807393,-,-,0.078477,-0.01164,0.052887
