rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
1,2,1,화이트드림치과의원 서울 강남점,2010,4121,0.393421,0.50354,0.426464,1.323425,65,34,0.061181,0.019535,0.024562
2,1,3,티유치과의원,2305,5545,0.393421,0.499744,0.426177,1.319342,3,336,0.061181,0.005702,0.023517
3,1,3,고르다치과의원 강남점,1514,7338,0.393421,0.499623,0.426168,1.319212,151,782,0.061181,0.01398,0.024142
4,1,1,뉴엔치과의원,1523,3436,0.393421,0.4914,0.425547,1.310368,1,632,0.061181,0.046189,0.026573
5,1,1,서울리마치과의원,1413,3506,0.393421,0.474019,0.424236,1.291676,69,1083,0.061181,0.03185,0.025491
6,1,1,오늘의치과의원 강남,149,2321,0.393421,0.47349,0.424196,1.291107,10,348,0.061181,0.042345,0.026283
7,4,1,하루플란트치과의원,692,1369,0.393421,0.468938,0.423852,1.286211,14,473,0.061181,0.110457,0.031423
8,4,3,퍼펙트치과의원 강남,1251,7347,0.393421,0.467905,0.423774,1.2851,10,878,0.061181,0.01317,0.024081
9,3,1,이살리는치과의원 신논현역점,89,985,0.393421,0.41157,0.419523,1.224514,57,707,0.061181,0.070149,0.028382
10,2,3,똑똑플란트치과의원,2226,1616,0.393421,0.39726,0.418443,1.209124,49,-4,0.061181,0.015418,0.024251
11,11,1,젊어지는치과의원Hot,780,2514,0.393421,0.389783,0.417878,1.201082,13,192,0.061181,0.108224,0.031255
12,3,3,사랑이아프니구강악안면외과치과의원 강남점,2009,102,0.393376,0.389614,0.417848,1.200838,17,7,0.061181,0.009011,0.023767
13,3,3,더뉴치과의원,521,1665,0.393421,0.34484,0.414486,1.152747,4,-2,0.061181,-0.014878,0.021964
14,1,3,강남레옹치과의원,1667,1344,0.393421,0.342439,0.414305,1.150165,25,28,0.061181,0.001548,0.023204
15,2,1,옥스치과의원,220,1551,0.393376,0.324152,0.412908,1.130436,2,100,0.061181,0.014271,0.024164
16,0,2,미소라움치과의원,177,1080,0.393421,0.321557,0.412729,1.127707,-,-21,0.061181,0.010375,0.02387
17,2,3,에이티에이치과의원,1083,913,0.393421,0.319641,0.412585,1.125647,4,-,0.061181,0.001197,0.023178
18,4,3,미소드림치과의원,857,2385,0.393421,0.311539,0.411973,1.116933,21,59,0.061181,-0.009087,0.022401
19,1,3,원데이치과의원 제3관,217,78,0.393421,0.303926,0.411399,1.108746,32,1,0.061181,0.000234,0.023105
20,1,3,킹콩치과의원,798,1065,0.393421,0.301538,0.411218,1.106177,-,19,0.061181,0.006484,0.023576
21,3,1,에버스마일치과교정과치과의원,180,624,0.393421,0.292625,0.410546,1.096592,3,10,0.061181,0.020162,0.024609
22,2,3,아인스치과교정과치과의원,654,1136,0.393421,0.291971,0.410496,1.095888,1,31,0.061181,-0.00155,0.02297
23,7,1,연세퍼스트구강내과치과의원,762,329,0.393376,0.286138,0.410039,1.089553,18,9,0.061181,0.02953,0.025316
24,3,3,스타28치과의원,222,390,0.393421,0.284483,0.409931,1.087835,-1,1,0.061181,0.002191,0.023252
25,3,1,연세유라인치과의원 강남역점,478,3031,0.393376,0.280644,0.409624,1.083644,1,11,0.061181,0.018656,0.024495
26,3,3,원데이치과의원 제1관,1251,498,0.393421,0.274093,0.409147,1.076661,53,1,0.061181,-0.001534,0.022971
27,1,3,원진치과의원 강남,703,463,0.393421,0.273372,0.409093,1.075886,1,-,0.061181,0.006484,0.023577
28,1,1,포샤르치과의원,496,148,0.393421,0.272558,0.409031,1.07501,-,-,0.061181,0.012029,0.023995
29,12,1,포스유치과의원Hot,104,145,0.393421,0.264753,0.408442,1.066616,2,2,0.061181,0.027384,0.025154
30,2,1,서울페이스21치과병원,195,228,0.393421,0.264035,0.408388,1.065844,5,9,0.061181,0.009004,0.023767
31,6,3,강남루덴치과의원,506,645,0.393376,0.263528,0.408332,1.065236,2,3,0.061181,-0.0046,0.02274
32,5,3,황순정 구강악안면외과 치과의원,127,252,0.393376,0.262798,0.408277,1.064451,1,4,0.061181,-0.001378,0.022983
33,1,1,맥스구강악안면외과치과의원,181,165,0.393376,0.262606,0.408263,1.064245,-4,5,0.061181,0.009775,0.023825
34,4,1,강남새로치과의원,462,579,0.393421,0.262018,0.408236,1.063675,82,-7,0.061181,0.016704,0.024348
35,4,3,리엔장치과의원,96,56,0.393421,0.261121,0.408168,1.06271,5,-,0.061181,0.0048,0.02345
36,1,3,체리스마일치과의원,351,478,0.393421,0.257904,0.407925,1.05925,9,16,0.061181,0.005964,0.023537
