rank,rank_change,rank_trend,company_name_category,visitor_reviews,blog_reviews,n1,n2,n3,sum,visitor_reviews_change,blog_reviews_change,n1_change,n2_change,n3_change
1,3,1,화이트드림치과의원 서울 강남점,2010,4121,0.393421,0.50354,0.426464,1.323425,61,-34,0.064377,0.019692,0.02578
2,1,3,티유치과의원,2305,5545,0.393421,0.499744,0.426177,1.319342,3,209,0.064377,-0.008772,0.023631
3,2,1,고르다치과의원 강남점,1514,7338,0.393421,0.499623,0.426168,1.319212,117,715,0.064377,0.018814,0.025713
4,1,3,뉴엔치과의원,1523,3436,0.393421,0.4914,0.425547,1.310368,2,422,0.064377,0.005692,0.024723
5,2,1,서울리마치과의원,1413,3506,0.393421,0.474019,0.424236,1.291676,50,825,0.064377,0.026569,0.026299
6,4,3,오늘의치과의원 강남,149,2321,0.393421,0.47349,0.424196,1.291107,7,315,0.064377,-0.030353,0.022003
7,1,1,하루플란트치과의원,692,1369,0.393421,0.468938,0.423852,1.286211,11,78,0.064377,0.059631,0.028794
8,2,3,퍼펙트치과의원 강남,1251,7347,0.393421,0.467905,0.423774,1.2851,17,710,0.064377,0.007625,0.024869
9,3,1,이살리는치과의원 신논현역점,89,985,0.393421,0.41157,0.419523,1.224514,46,645,0.064377,0.059291,0.028769
10,1,1,똑똑플란트치과의원,2226,1616,0.393421,0.39726,0.418443,1.209124,41,-1,0.064377,0.015986,0.0255
11,10,1,젊어지는치과의원,780,2514,0.393421,0.389783,0.417878,1.201082,6,192,0.064377,0.103155,0.032078
12,2,3,사랑이아프니구강악안면외과치과의원 강남점,2009,102,0.393376,0.389614,0.417848,1.200838,10,5,0.064378,0.007007,0.024822
13,4,3,더뉴치과의원,521,1665,0.393421,0.34484,0.414486,1.152747,3,-2,0.064377,-0.037831,0.021438
14,1,3,강남레옹치과의원,1667,1344,0.393421,0.342439,0.414305,1.150165,19,21,0.064377,-0.001408,0.024187
15,2,1,옥스치과의원,220,1551,0.393376,0.324152,0.412908,1.130436,1,62,0.064378,0.012243,0.025218
16,2,3,미소라움치과의원,177,1080,0.393421,0.321557,0.412729,1.127707,-,-21,0.064377,-0.007764,0.023707
17,1,3,에이티에이치과의원,1083,913,0.393421,0.319641,0.412585,1.125647,2,11,0.064377,-0.000245,0.024275
18,3,3,미소드림치과의원,857,2385,0.393421,0.311539,0.411973,1.116933,19,43,0.064377,-0.016202,0.023071
19,1,1,원데이치과의원 제3관,217,78,0.393421,0.303926,0.411399,1.108746,16,1,0.064377,0.012432,0.025232
20,2,3,킹콩치과의원,798,1065,0.393421,0.301538,0.411218,1.106177,-,14,0.064377,0.006561,0.024788
21,3,1,에버스마일치과교정과치과의원,180,624,0.393421,0.292625,0.410546,1.096592,2,8,0.064377,0.01135,0.025151
22,3,3,아인스치과교정과치과의원,654,1136,0.393421,0.291971,0.410496,1.095888,1,19,0.064377,-0.000254,0.024274
23,1,3,연세퍼스트구강내과치과의원,762,329,0.393376,0.286138,0.410039,1.089553,12,7,0.064378,-0.000621,0.024247
24,1,3,스타28치과의원,222,390,0.393421,0.284483,0.409931,1.087835,-1,1,0.064377,0.001719,0.024423
25,4,1,연세유라인치과의원 강남역점,478,3031,0.393376,0.280644,0.409624,1.083644,-,9,0.064378,0.014486,0.025387
26,2,1,원데이치과의원 제1관,1251,498,0.393421,0.274093,0.409147,1.076661,33,1,0.064377,0.007236,0.02484
27,2,3,원진치과의원 강남,703,463,0.393421,0.273372,0.409093,1.075886,2,-,0.064377,0.00361,0.024566
28,8,1,포샤르치과의원,496,148,0.393421,0.272558,0.409031,1.07501,-,-,0.064377,0.024328,0.02613
29,9,1,포스유치과의원,104,145,0.393421,0.264753,0.408442,1.066616,2,2,0.064377,0.022508,0.025992
30,3,1,서울페이스21치과병원,195,228,0.393421,0.264035,0.408388,1.065844,4,7,0.064377,0.009732,0.025028
31,0,2,강남루덴치과의원,506,645,0.393376,0.263528,0.408332,1.065236,2,2,0.064378,0.005315,0.024694
32,2,3,황순정 구강악안면외과 치과의원,127,252,0.393376,0.262798,0.408277,1.064451,1,3,0.064378,0.002931,0.024514
33,1,1,맥스구강악안면외과치과의원,181,165,0.393376,0.262606,0.408263,1.064245,-4,3,0.064378,0.009714,0.025027
34,7,3,강남새로치과의원,462,579,0.393421,0.262018,0.408236,1.063675,50,-9,0.064377,-0.005275,0.023896
35,9,3,리엔장치과의원,96,56,0.393421,0.261121,0.408168,1.06271,2,-,0.064377,-0.008085,0.023683
36,1,3,체리스마일치과의원,351,478,0.393421,0.257904,0.407925,1.05925,7,10,0.064377,0.006573,0.024789
37,9,1,강남엔터치과의원,243,837,0.393421,0.247877,0.407168,1.048466,38,-14,0.064377,0.028909,0.026475
38,2,1,사람사랑치과의원,424,257,0.393421,0.243162,0.406813,1.043396,-,1,0.064377,0.01048,0.025085
39,2,3,푸른나무치과의원,301,307,0.393421,0.241937,0.40672,1.042078,4,-,0.064377,-0.001772,0.02416
40,7,1,화이트스타일치과의원,277,165,0.393421,0.241359,0.406676,1.041456,3,-,0.064377,0.022551,0.025995
41,2,3,닥터프라임치과의원,208,110,0.393421,0.239493,0.406536,1.03945,-,-1,0.064377,0.004531,0.024636
42,1,3,미유치과의원,157,882,0.393421,0.238684,0.406475,1.03858,-,-13,0.064377,0.009371,0.025001
43,8,1,뉴욕연세치과의원,565,1302,0.393421,0.235369,0.406224,1.035014,4,2,0.064377,0.030322,0.026582
44,20,1,원치과의원,294,1164,0.393421,0.429884,0.406023,1.229328,8,623,0.064377,0.061575,0.028941
45,0,2,원데이치과의원 제2관,48,309,0.393421,0.228412,0.405699,1.027532,-,-,0.064377,0.004303,0.024618
46,2,3,서울위드치과의원,282,11,0.393376,0.228523,0.40569,1.027589,1,-,0.064378,0.003618,0.024566
47,1,1,크림치과의원,233,14,0.393376,0.228497,0.405689,1.027562,-,-,0.064378,0.011688,0.025176
48,5,3,비타바른이치과의원,496,943,0.393421,0.219063,0.404994,1.017478,-,12,0.064377,-0.00871,0.023636
49,12,1,강남애프터치과의원,458,222,0.393421,0.218003,0.404914,1.016338,-2,3,0.064377,0.040042,0.027316
50,18,3,워싱턴치과교정과치과의원,301,90,0.393421,0.217497,0.404876,1.015794,1,56,0.064377,-0.039654,0.021301
51,12,1,화이트이치과의원 강남,209,386,0.393421,0.282947,0.404771,1.081139,1,-6,0.064377,0.038635,0.02721
52,10,3,스마일어게인치과교정과치과의원 강남점,116,10,0.393421,0.211603,0.404431,1.009455,-,-,0.064377,-0.016918,0.023017
53,4,3,제아치과의원,674,1661,0.393421,0.20998,0.404308,1.007709,-34,2,0.064377,-0.004283,0.02397
54,4,3,베스트덴치과의원,233,8,0.393376,0.20531,0.403939,1.002625,-,-,0.064378,-0.005827,0.023854
55,1,3,런던치과의원,156,2,0.393376,0.198556,0.403429,0.995361,-,-,0.064378,0.00278,0.024504
56,6,1,스마일존치과의원,79,47,0.393421,0.197332,0.403354,0.994107,-,7,0.064377,0.019453,0.025762
57,2,3,강남더블유치과의원,582,3029,0.393421,0.420365,0.403352,1.217138,7,740,0.064377,0.002715,0.024498
58,6,3,수바른이치과의원,199,4,0.393376,0.202999,0.403292,0.999667,-,-,0.064378,-0.002388,0.024113
59,6,3,강남클리어치과의원,1668,116,0.393421,0.191079,0.402882,0.987382,29,-,0.064377,-0.005491,0.023879
60,0,2,오르세치과의원,477,356,0.393421,0.231408,0.402496,1.027325,-,-,0.064377,0.007765,0.024879
61,4,1,기쁜마음치과의원,226,236,0.393421,0.178228,0.401912,0.973561,2,-,0.064377,0.013071,0.02528
62,4,3,미켈란치과의원,427,200,0.393421,0.175017,0.40167,0.970108,-,4,0.064377,-0.005248,0.023898
63,6,3,서울에스타운치과의원,69,1,0.393376,0.17485,0.40164,0.969866,-,-,0.064378,-0.005651,0.023867
64,8,1,서울아트치과의원,85,4,0.393376,0.173481,0.401536,0.968393,-,-,0.064378,0.024414,0.026136
65,2,1,오리진치과의원,87,6,0.393376,0.172448,0.401458,0.967282,-,-,0.064378,0.010952,0.02512
66,10,3,헤리치과의원 강남점,229,533,0.393421,0.170312,0.401314,0.965047,18,1,0.064377,-0.019285,0.022838
67,1,1,이선국치과의원,60,2,0.393376,0.166841,0.401035,0.961252,-,-,0.064378,0.006942,0.024817
68,9,3,강남믿음치과의원,105,4,0.393376,0.165891,0.400963,0.96023,1,-,0.064378,-0.013009,0.023311
69,2,1,서울예인치과의원,68,1,0.393376,0.165395,0.400926,0.959697,-,-,0.064378,0.012407,0.02523
70,4,3,하늘사랑치과의원,367,386,0.393421,0.231883,0.400917,1.026221,-,-,0.064377,0.000423,0.024326
71,2,1,김앤이치과의원,146,5,0.393421,0.198683,0.400585,0.992689,1,-,0.064377,0.021217,0.025895
72,3,3,강남젠틀치과의원,271,32,0.393421,0.226588,0.400182,1.020191,2,-,0.064377,-0.000009,0.024293
73,2,1,사과나무치과의원,137,365,0.393421,0.185091,0.399149,0.977661,1,21,0.064377,0.02146,0.025913
74,0,2,연세미치과의원 강남점,34,1,0.393376,0.139469,0.398969,0.931814,-,-,0.064378,0.002242,0.024462
75,5,3,제아치과의원 별관,4,77,0.393421,0.130879,0.398338,0.922638,-,-,0.064377,-0.02241,0.022602
76,1,1,보아치과의원,615,263,0.393421,0.115259,0.397159,0.905839,7,2,0.064377,0.004481,0.024631
77,1,1,라윤영치과의원,22,0,0.393421,0.111813,0.396899,0.902133,-,-,0.064377,0.004278,0.024616
78,4,1,누가치과의원,17,0,0.393376,0.103881,0.396284,0.893541,-,-,0.064378,0.014621,0.025397
79,0,2,예손치과의원,34,4,0.393376,0.103108,0.396225,0.892709,-,-,0.064378,0.000757,0.02435
80,4,3,스타서울치과의원,30,1,0.393376,0.102889,0.396209,0.892474,-,-,0.064378,-0.013396,0.023283
81,1,3,BF라인치과의원,46,106,0.393376,0.099946,0.395986,0.889308,-,-,0.064378,0.000494,0.02433
82,1,3,이가치과의원,17,2,0.393376,0.09959,0.39596,0.888926,-,-,0.064378,0.002495,0.024482
83,0,2,루센트치과의원 신논현,1662,4283,0.393421,0.432748,0.39579,1.221959,39,459,0.064377,0.016269,0.025522
84,1,1,서울바름치과,7,0,0.393376,0.05989,0.392963,0.846229,-,-,0.064378,-0.009178,0.0236
85,2,1,강남영치과의원,20,18,0.393421,0.058976,0.392912,0.845309,-,-,0.064377,0.001637,0.024417
86,3,1,서울서이치과의원,619,553,0.393421,0.244804,0.392851,1.031076,8,6,0.064377,0.010243,0.025067
87,3,3,서울심미치과의원,809,1565,0.393376,0.354174,0.392737,1.140287,12,88,0.064378,-0.015807,0.0231
88,0,2,백영완치과의원,64,1,0.393421,0.159259,0.392708,0.945388,-,-,0.064377,0.003386,0.024549
89,3,3,하얀치과의원,6,4,0.393376,0.067472,0.391895,0.852743,-,-,0.064378,-0.015613,0.023115
90,0,2,2D치과의원,1670,679,0.393376,0.394576,0.391698,1.17965,16,12,0.064378,0.0034,0.02455
91,0,2,양치과의원,138,17,0.393376,0.192054,0.390675,0.976105,-,-,0.064378,-0.003385,0.024038
92,2,1,센트럴치과의원 강남점,229,332,0.393421,0.260689,0.390357,1.044467,6,2,0.064377,0.004388,0.024625
93,1,3,에이아이치과의원,0,0,0.393376,0.04351,0.389901,0.826787,-,-,0.064378,-0.009575,0.023571
94,1,3,미시간D치과,2,1,0.393376,0.01842,0.389834,0.80163,-,-,0.064378,-0.002578,0.024099
95,0,2,박형국치과,0,0,0.393376,0.016211,0.389667,0.799254,-,-,0.064378,0.000029,0.024296
96,0,2,연세에이플란트치과의원,168,1539,0.393421,0.200188,0.387554,0.981163,1,42,0.064377,0.005066,0.024676
97,41,1,한성익의원 치과의원,34,1,0.366346,0.112316,0.38672,0.865382,-,-,0.237201,0.017306,0.090816
98,1,3,덴탑치과의원,119,4,0.393421,0.156783,0.38602,0.936224,1,-,0.064377,-0.007635,0.023718
99,1,3,미니쉬치과의원 강남점,133,2676,0.393421,0.451907,0.385816,1.231144,2,413,0.064377,0.003805,0.02458
100,1,3,지앤미치과의원 강남점,38,1,0.393376,0.113678,0.385519,0.892573,-,-,0.064378,0.006169,0.024759
101,1,3,서울시카고치과의원,48,0,0.393376,0.108598,0.383967,0.885941,-,-,0.064378,-0.001597,0.024173
102,1,3,이성일치과의원,15,0,0.393376,0.091754,0.383679,0.868809,-,-,0.064378,0.003081,0.024526
103,1,3,최낙준치과의원,48,2,0.393376,0.169146,0.381052,0.943574,-1,-,0.064378,-0.003745,0.024011
104,1,3,박영준치과의원,41,1,0.393376,0.124414,0.380136,0.897926,1,-,0.064378,-0.003014,0.024066
105,1,3,라이브치과병원 서울강남,1940,8137,0.393421,0.335916,0.379841,1.109178,25,-231,0.064377,0.004857,0.02466
106,2,1,강남유레카치과의원,235,1986,0.393421,0.452941,0.378279,1.224641,-1,360,0.064377,0.013285,0.025296
107,2,3,르치과의원 신논현,233,238,0.393421,0.236502,0.378181,1.008104,-,-,0.064377,-0.005487,0.023879
108,2,3,이미지치과의원,209,12,0.393376,0.217391,0.377904,0.988671,-,-,0.064378,-0.005746,0.02386
109,2,3,황인준치과의원,71,1,0.393376,0.15616,0.37734,0.926876,-,-,0.064378,-0.001129,0.024208
110,1,1,포샤르플란트치과의원,129,0,0.393376,0.155468,0.372361,0.921205,-,-,0.064378,0.013216,0.025291
111,2,3,스마일뷰치과의원,323,385,0.393421,0.262782,0.37173,1.027933,1,-3,0.064377,-0.016777,0.023027
112,2,3,서울 혜치과의원,124,129,0.393421,0.171971,0.371241,0.936633,1,-,0.064377,-0.011487,0.023426
113,1,3,서울매스티지치과의원,446,3635,0.393376,0.248075,0.369659,1.01111,1,30,0.064378,0.005985,0.024745
114,1,3,고운이치과의원,46,3,0.393376,0.199927,0.367405,0.960708,-,-,0.064378,0.012721,0.025254
115,1,3,강남 e편한치과,1,3,0.393376,0.08635,0.367171,0.846897,-,-,0.064378,0.019777,0.025786
116,1,3,연세티스치과의원 강남점,229,2,0.393376,0.197807,0.365208,0.956391,3,-,0.064378,0.003426,0.024552
117,1,3,서울미시간치과의원,16,3,0.393376,0.153905,0.363433,0.910714,-,-,0.064378,-0.003134,0.024057
118,1,3,강남브엘치과의원,91,138,0.393421,0.156066,0.363267,0.912754,-,-,0.064377,0.00302,0.024522
119,1,3,소중한치과의원,31,2,0.393376,0.118831,0.363186,0.875393,-,-,0.064378,0.007859,0.024887
120,0,2,강남치유치과의원 역삼점,246,1057,0.393421,0.403573,0.361801,1.158795,27,205,0.064377,0.035043,0.026938
121,2,3,아름드리치과의원,342,1065,0.393421,0.415315,0.361625,1.170361,-8,409,0.064377,0.029005,0.026482
122,1,3,옥수수치과,383,392,0.393376,0.246458,0.357895,0.997729,1,-,0.064378,0.009035,0.024975
123,1,3,유디치과병원 강남뱅뱅점,281,33,0.393421,0.227327,0.356135,0.976883,-,-,0.064377,-0.003959,0.023995
124,1,3,연세차인호치과의원,21,3983,0.393421,0.425192,0.350519,1.169132,2,427,0.064377,0.013056,0.025278
125,1,3,아름다운이치과의원,31,1,0.393376,0.120609,0.347775,0.86176,-1,-,0.064378,0.018861,0.025717
126,1,3,쎌치과의원,29,26,0.393376,0.144904,0.345812,0.884092,-,-,0.064378,0.009294,0.024994
127,1,3,세이프플란트치과의원,853,4091,0.393421,0.341515,0.344527,1.079463,17,224,0.064377,0.034899,0.026927
