date,year,month,day,day_of_week,data_type,channel_code,channel_name,channel_count,page_visits,booking_requests
2024-09-21,2024,9,21,Saturday,channel,bmp,지도,7,9,1
2024-09-21,2024,9,21,Saturday,channel,bne,네이버기타,2,9,1
2024-09-22,2024,9,22,Sunday,channel,bmp,지도,2,5,1
2024-09-22,2024,9,22,Sunday,channel,bne,네이버기타,2,5,1
2024-09-22,2024,9,22,Sunday,channel,pll,플레이스목록,1,5,1
2024-09-23,2024,9,23,Monday,channel,bmp,지도,4,22,9
2024-09-23,2024,9,23,Monday,channel,bee,기타,1,22,9
2024-09-23,2024,9,23,Monday,channel,bnb,블로그,1,22,9
2024-09-23,2024,9,23,Monday,channel,bne,네이버기타,11,22,9
2024-09-23,2024,9,23,Monday,channel,ple,플레이스상세,5,22,9
2024-09-24,2024,9,24,Tuesday,channel,bmp,지도,8,24,6
2024-09-24,2024,9,24,Tuesday,channel,bee,기타,5,24,6
2024-09-24,2024,9,24,Tuesday,channel,bet,외부서비스,1,24,6
2024-09-24,2024,9,24,Tuesday,channel,bnb,블로그,1,24,6
2024-09-24,2024,9,24,Tuesday,channel,bne,네이버기타,6,24,6
2024-09-24,2024,9,24,Tuesday,channel,ple,플레이스상세,3,24,6
2024-09-25,2024,9,25,Wednesday,channel,bmp,지도,10,24,4
2024-09-25,2024,9,25,Wednesday,channel,bee,기타,1,24,4
2024-09-25,2024,9,25,Wednesday,channel,bne,네이버기타,8,24,4
2024-09-25,2024,9,25,Wednesday,channel,ple,플레이스상세,5,24,4
2024-09-26,2024,9,26,Thursday,channel,bet,외부서비스,2,17,3
2024-09-26,2024,9,26,Thursday,channel,bmp,지도,2,17,3
2024-09-26,2024,9,26,Thursday,channel,bne,네이버기타,10,17,3
2024-09-26,2024,9,26,Thursday,channel,ple,플레이스상세,2,17,3
2024-09-26,2024,9,26,Thursday,channel,pll,플레이스목록,1,17,3
2024-09-27,2024,9,27,Friday,channel,bmp,지도,6,16,3
2024-09-27,2024,9,27,Friday,channel,pll,플레이스목록,2,16,3
2024-09-27,2024,9,27,Friday,channel,bne,네이버기타,7,16,3
2024-09-27,2024,9,27,Friday,channel,ple,플레이스상세,1,16,3
2024-09-28,2024,9,28,Saturday,channel,bmp,지도,2,8,1
2024-09-28,2024,9,28,Saturday,channel,bne,네이버기타,3,8,1
2024-09-28,2024,9,28,Saturday,channel,ple,플레이스상세,1,8,1
