place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,21560091,닥터유바른치과의원,2521,214,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주운정치과 미세현미경치료 가람마을충치신경치료 뼈이식디지털임플란트 사랑니발치심미보철,,0.33134,0.499142,0.393648,,3,262.0,0.0,,0.0177,0.076772,0.012473
2,1921203919,운정퍼스트치과의원,1851,267,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 스케일링 충치치료 사랑니발치,,0.331294,0.450491,0.389959,,0,29.0,3.0,,0.0177,0.015695,0.007864
3,1713620584,서울오케이치과의원 파주운정,2727,323,치과,건강의료>병원>병원의원>치과>치과-일반,4.69,,운정치과 수면임플란트 치과 치아보험 임플란트,,0.33134,0.428593,0.388324,,-2,110.0,0.0,,0.0177,-0.009268,0.00598
4,1167449567,운정세브란스치과의원,831,665,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주치과 운정동치과 운정치과 파주임플란트 파주턱관절치과,,0.33134,0.428433,0.388312,,-1,126.0,1.0,,0.0177,-0.003136,0.006443
5,1593034929,서울선(SUN)치과병원,1570,3528,치과,건강의료>병원>병원의원>치과>치과-일반,4.84,,운정치과 파주치과 임플란트 치아교정 어린이치과,,0.33134,0.420324,0.3877,,0,48.0,17.0,,0.0177,0.004616,0.007028
6,1711568818,운정탑치과의원,2289,352,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 라미네이트 운정치과 해오름마을치과,,0.33134,0.404815,0.386529,,0,124.0,0.0,,0.0177,-0.007542,0.00611
7,31885898,행복치과의원,1318,542,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,운정치과 파주임플란트 운정임플란트 운정라미네이트 운정심미치료,,0.33134,0.400402,0.386196,,0,72.0,1.0,,0.0177,0.002686,0.006882
8,35438354,바른이치과교정과치과의원,1151,303,치과,건강의료>병원>병원의원>치과>치과-일반,4.56,,동패동교정치과 운정어린이교정치과 파주교정치과 성장기소아교정 교정치과,,0.33134,0.385654,0.385083,,6,294.0,1.0,,0.0177,0.070555,0.012004
9,1149712231,바른정치과의원,1525,249,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,파주치과 운정치과 파주임플란트 운정사랑니 운정스케일링,,0.33134,0.384999,0.385034,,0,62.0,1.0,,0.0177,0.019867,0.008179
10,93611467,서울이고운치과의원,1262,966,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 사랑니발치 교정치과 산내마을치과 공휴일치과,,0.33134,0.374894,0.384271,,-2,66.0,13.0,,0.0177,-0.009829,0.005938
