place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,1566818170,서울가온치과의원 의정부,4081,564,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 충치치료 신경치료 사랑니발치 심미치료,,0.331294,0.509768,0.40349,,2,365.0,6.0,,0.0177,0.027054,0.008721
2,1525443033,바른얼굴치과교정과치과의원,2696,226,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,의정부치과 의정부치아교정치과 의정부턱관절치료 인비절라인투명교정 민락동소아어린이교정,,0.33134,0.49966,0.402744,,-1,398.0,6.0,,0.0177,-0.011315,0.005825
3,1681701472,의정부본플란트치과의원,3726,382,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,의정부치과 디지털임플란트 턱관절장애비수술치료 매복사랑니발치 앞니치아미백,,0.33134,0.499342,0.40272,,3,279.0,12.0,,0.0177,0.035012,0.009322
4,1570387040,의정부환한미소치과의원,4411,1110,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 치아교정 충치치료 교정치과 인비절라인,,0.33134,0.496315,0.402492,,1,285.0,5.0,,0.0177,0.025084,0.008573
5,1406230339,진플란트치과의원 의정부,2996,561,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,의정부치과 의정부임플란트 수면임플란트 고난도사랑니발치 턱관절치료,,0.33134,0.484848,0.401626,,-3,198.0,1.0,,0.0177,-0.00143,0.006571
6,1937425488,연세세브란스치과의원 의정부,2187,1177,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,의정부치과 사랑니발치 라미네이트 주걱턱교정 의정부역치과,,0.33134,0.469152,0.400442,,-2,162.0,8.0,,0.0177,-0.006253,0.006208
7,1117223962,의정부아이엠치과의원,2452,517,치과,건강의료>병원>병원의원>치과>치과-일반,4.9,,의정부치과 의정부야간진료치과 의정부임플란트 의정부치아교정 의정부역치과,,0.33134,0.46301,0.399978,,0,645.0,0.0,,0.0177,0.009325,0.007383
8,1291369622,의정부성모치과의원,1253,313,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,의정부치과 의정부임플란트 라미네이트 심미치아미백 충치신경치료,,0.33134,0.452883,0.399214,,6,193.0,6.0,,0.0177,0.083559,0.012986
9,1028334278,연세스탠다드치과의원,1632,745,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,의정부치과 민락동치과 임플란트 네비게이션임플란트 주말진료치과,,0.33134,0.43609,0.397947,,-1,208.0,9.0,,0.0177,-0.004606,0.006332
10,34807463,서울보스톤치과의원 의정부,1416,1465,치과,건강의료>병원>병원의원>치과>치과-일반,4.67,,치아교정 사랑니발치 임플란트 교정치과 의정부치과,,0.33134,0.430423,0.397519,,1,152.0,11.0,,0.0177,0.026342,0.008668
