date,is_Brand,cnt
2024-07,N,703464
2024-07,Y,1243
2024-08,N,667548
2024-08,Y,1415
2024-09,N,637350
2024-09,Y,1358
2024-10,N,648277
2024-10,Y,1594
2024-11,N,631299
2024-11,Y,1326
2024-12,N,615830
2024-12,Y,1325
2025-01,N,651263
2025-01,Y,1399
2025-02,N,666504
2025-02,Y,1533
2025-03,N,658696
2025-03,Y,1557
2025-04,N,604662
2025-04,Y,1629
2025-05,N,588380
2025-05,Y,1486
2025-06,N,568048
2025-06,Y,1519
2025-07,N,587030
2025-07,Y,1545
