date,is_brand,cnt
2024-07,Y,2
2024-08,Y,20
2024-09,Y,2
2024-10,Y,2
2024-11,Y,2
2024-12,Y,1
2025-01,Y,3
2025-02,Y,3
2025-03,Y,0
2025-04,Y,1
2025-05,Y,2
2025-06,Y,5
2025-07,Y,6
