place_rank,place_id,place_name,place_blog_cnt,place_visit_cnt,place_category,place_industry,place_score,place_save_cnt,place_detail_keyword,place_open,place_index1,place_index2,place_index3,place_rank_jump,place_rank_compare,place_blog_cnt_compare,place_visit_cnt_compare,place_save_cnt_compare,place_gdid_inde1_compare,place_gdid_inde2_compare,place_gdid_inde3_compare
1,13255938,엠치과의원 신암점,641,462,치과,건강의료>병원>병원의원>치과>치과-일반,4.62,,대구동구치과 대구임플란트 어린이부정교합 신암동치과 대구치조골이식술,,0.33134,0.34955,0.37934,,0.0,5.0,1.0,,0.019447,-0.009032,0.009676
2,1393448782,드림에스치과의원,141,346,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,수면임플란트 보험틀니 사랑니 재신경치료 대구동구치과,,0.33134,0.30517,0.37599,,0.0,1.0,4.0,,0.019447,-0.004232,0.010038
3,13458237,뉴욕치과의원,58,342,치과,건강의료>병원>병원의원>치과>치과-일반,4.58,,임플란트 틀니 치아교정 임플란트비용 라미네이트,,0.331294,0.28297,0.374297,,0.0,1.0,3.0,,0.019447,0.007799,0.010946
4,34572786,율하예미송키즈치과의원,16,379,치과,건강의료>병원>병원의원>치과>치과-일반,4.49,,소아치과 수면치료 웃음가스치료 소아교정 어린이치과,,0.33134,0.275663,0.373763,,2.0,0.0,4.0,,0.019447,0.015808,0.01155
5,1817781668,이룸치과의원,13,161,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,,,0.331294,0.275144,0.373707,,0.0,0.0,2.0,,0.019447,0.012154,0.011275
6,35839988,율하연합치과의원,7,444,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,율하치과 율하연합치과 대구율하치과 대구동구치과 임플란트,,0.33134,0.267444,0.373143,,0.0,0.0,1.0,,0.019447,0.001743,0.010489
7,1548305930,안심플란트치과의원,474,627,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구치아미백 대구수면임플란트 대구사랑니 대구라미네이트 대구동구치과,,0.33134,0.264691,0.372935,,0.0,14.0,1.0,,0.019447,0.007426,0.010918
8,1557613609,신세계치과의원,577,525,치과,건강의료>병원>병원의원>치과>치과-일반,4.68,,임플란트 충치치료 컴퓨터분석임플란트 통합치의학전문의 사랑니,,0.331294,0.258472,0.372449,,0.0,6.0,3.0,,0.019447,0.005444,0.010769
9,1905565050,에이원치과의원,3,302,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,임플란트 턱관절 충치치료 보철치료 대구동구치과,,0.33134,0.25751,0.372393,,1.0,0.0,-1.0,,0.019447,0.012265,0.011283
10,36132272,바오치과의원,58,466,치과,건강의료>병원>병원의원>치과>치과-일반,4.63,,임플란트 스켈링 충치치료 크라운 인레이,,0.331294,0.256531,0.372302,,1.0,0.0,0.0,,0.019447,0.015076,0.011495
11,1949782078,메이저치과의원,71,94,치과,건강의료>병원>병원의원>치과>치과-일반,0.0,,대구동구치과 각산역치과 안심역치과 보철과전문의 혁신도시치과,,0.33134,0.232691,0.37052,,1.0,0.0,0.0,,0.019447,-0.003927,0.010061
